CNPJ;Ano;Trimestre;ValorDespesas
321338;2024;3T2024;160185044.55
321338;2024;4T2024;209358369.41
321931;2024;2T2024;116093429.52
321931;2024;3T2024;176673659.25
321931;2024;4T2024;242080699.33
321958;2024;2T2024;835367878.8
321958;2024;3T2024;1265056275.39
321958;2024;4T2024;1668598380.36
322326;2024;2T2024;29194559.7
322326;2024;3T2024;41156025.19
322326;2024;4T2024;51356978.3
322571;2024;2T2024;356392638.51
322571;2024;3T2024;522527848.39
322571;2024;4T2024;695333983.16
322831;2024;2T2024;229935965.8
322831;2024;3T2024;343074541.69
322831;2024;4T2024;441350045.25
322890;2024;2T2024;12431570.98
322890;2024;3T2024;18403691.57
322890;2024;4T2024;25510378.950000003
323004;2024;2T2024;51511334.98
323004;2024;3T2024;78504002.14
323004;2024;4T2024;99964633.41
323055;2024;2T2024;156490530.07
323055;2024;3T2024;236748099.82999998
323055;2024;4T2024;331652848.25
323080;2024;2T2024;12204942451.51
323080;2024;3T2024;17716463851.68
323080;2024;4T2024;22924561704.25
323268;2024;2T2024;846819258.22
323268;2024;3T2024;1320406499.11
323268;2024;4T2024;1813549972.74
323357;2024;2T2024;210573000.51000002
323357;2024;3T2024;307371912.99
323357;2024;4T2024;402988603.88
323926;2024;2T2024;224349894.31
323926;2024;3T2024;347102639.76
323926;2024;4T2024;442706816.23
323942;2024;2T2024;109677674.0
323942;2024;3T2024;157869659.23000002
323942;2024;4T2024;200849545.4
323993;2024;2T2024;594802385.15
323993;2024;3T2024;864654077.97
323993;2024;4T2024;1153794664.22
324159;2024;2T2024;183003500.12
324159;2024;3T2024;276694433.3
324159;2024;4T2024;366950303.23
324175;2024;2T2024;78971577.35
324175;2024;3T2024;132966915.13
324175;2024;4T2024;179839583.28
324213;2024;2T2024;52906399.33
324213;2024;3T2024;58089704.05
324213;2024;4T2024;60553062.94
324299;2024;2T2024;82876915.17
324299;2024;3T2024;122340665.52
324299;2024;4T2024;160662759.83
324345;2024;2T2024;369692551.57
324345;2024;3T2024;556035720.97
324345;2024;4T2024;750948082.89
324361;2024;2T2024;754830281.45
324361;2024;3T2024;1131306934.7
324361;2024;4T2024;1459102287.4199998
324477;2024;2T2024;949052933.58
324477;2024;3T2024;1384410941.31
324477;2024;4T2024;1786913776.75
324493;2024;2T2024;530257429.34
324493;2024;3T2024;791944521.89
324493;2024;4T2024;1050990243.55
324523;2024;2T2024;86200.39
324523;2024;3T2024;85730.16
324523;2024;4T2024;83561.4
324566;2024;2T2024;282238592.66
324566;2024;3T2024;408896527.55
324566;2024;4T2024;532134408.90000004
324710;2024;4T2024;49070.8
325031;2024;2T2024;218543382.16
325031;2024;3T2024;335495544.57
325031;2024;4T2024;438362999.49
325082;2024;2T2024;46191453.03
325082;2024;3T2024;61279354.24
325082;2024;4T2024;99922978.33
325236;2024;2T2024;191607201.17
325236;2024;3T2024;311413221.09
325236;2024;4T2024;425263272.91
325465;2024;2T2024;90449274.91
325465;2024;3T2024;135114014.69
325465;2024;4T2024;176336458.89
325571;2024;2T2024;2704719944.05
325571;2024;3T2024;4153483881.55
325571;2024;4T2024;5479040214.98
326089;2024;2T2024;120422752.19
326089;2024;3T2024;170992268.52
326089;2024;4T2024;153141264.26
326305;2024;2T2024;61707852629.07
326305;2024;3T2024;91295618794.8
326305;2024;4T2024;121371231831.88
326500;2024;2T2024;891925731.18
326500;2024;3T2024;1389572634.04
326500;2024;4T2024;1923176119.57
326755;2024;2T2024;385385474.42
326755;2024;3T2024;600338352.48
326755;2024;4T2024;842879594.62
326861;2024;2T2024;767773915.62
326861;2024;3T2024;1155402449.38
326861;2024;4T2024;1550706323.2099998
327093;2024;4T2024;25659523.75
327328;2024;2T2024;3004735.94
327328;2024;3T2024;4464977.28
327328;2024;4T2024;5925218.62
327352;2024;2T2024;127283117.12
327352;2024;3T2024;182903506.6
327352;2024;4T2024;236387189.6
327417;2024;2T2024;719469709.76
